cgroup,commoditycode,pci,exp_share
Core countries,2527,-0.815830205,4.14954196685647e-08
Periphery countries,2527,-0.815830205,7.13489968120289e-08
Core countries,2528,-1.05891288823529,2.66348939568413e-05
Periphery countries,2528,-1.05891288823529,4.78737454601837e-06
Core countries,2529,-1.00207397,3.47242789634799e-05
Periphery countries,2529,-1.00207397,3.01206217354962e-05
Core countries,2530,-0.983627146470588,0.000122701433984619
Periphery countries,2530,-0.983627146470588,0.000513920110893314
Core countries,2601,-1.29153969411765,0.000211765539230349
Periphery countries,2601,-1.29153969411765,3.10591029983301e-05
Core countries,2602,-1.78299954117647,9.34162724631013e-06
Periphery countries,2602,-1.78299954117647,1.71220472909189e-05
Core countries,2603,-1.94315321176471,4.67070234881758e-05
Periphery countries,2603,-1.94315321176471,0.00175340533669374
Core countries,2604,-1.23861810352941,0.000124909920076337
Periphery countries,2604,-1.23861810352941,5.4185864030759e-05
Core countries,2605,-1.39357940294118,7.21630742229182e-06
Periphery countries,2605,-1.39357940294118,1.1048335568598e-06
Core countries,2606,-1.77264064705882,3.56691473838566e-05
Periphery countries,2606,-1.77264064705882,0.000293618196475882
Core countries,2607,-1.01698634588235,0.000105663440792766
Periphery countries,2607,-1.01698634588235,0.000268682117170598
Core countries,2608,-0.933651762941176,0.00022423525394924
Periphery countries,2608,-0.933651762941176,0.000817092243118555
Core countries,2609,-2.20287793529412,2.09452232841728e-06
Periphery countries,2609,-2.20287793529412,9.02676447470445e-06
Core countries,2610,-1.93404071176471,1.8171837784273e-05
Periphery countries,2610,-1.93404071176471,2.92086972903486e-06
Core countries,2611,-1.59056252352941,2.31356016297135e-06
Periphery countries,2611,-1.59056252352941,6.70986048622933e-05
Core countries,2612,-1.56993015058824,3.61865877738089e-07
Periphery countries,2612,-1.56993015058824,3.83873880348957e-06
Core countries,2613,-0.509585278235294,0.000376567360106548
Periphery countries,2613,-0.509585278235294,1.24388733907894e-05
Core countries,2614,-1.07857151823529,6.44428050334421e-05
Periphery countries,2614,-1.07857151823529,2.12804520359933e-06
Core countries,2615,-2.18803395294118,2.10983774432432e-05
Periphery countries,2615,-2.18803395294118,2.80186310506817e-05
Core countries,2616,-1.63948752941176,6.14131437796339e-05
Periphery countries,2616,-1.63948752941176,0.000111910622800935
Core countries,2617,-1.66251973529412,9.43266423850188e-06
