"","year","ccode","Exports","ULC_index","GDP_pc_PPP","OECD_GERD","Wages","pop","TECH","eci_rank","eci_rank_normed","RULC","GERD_pc","ULCGR","rel_ULCGR","EXP","EXPGR","eciGR","eci_rank_change","eci_rank_normed_change","world_GDPg","CAP.ACCU","TOT","HC","TAXBURDEN","real_gdp","gdp_growth","REER","INFLATION","PART.GROWTH","PRIMARY"
"49",1971,"AUT",3.17,37.71109,4215.680804,NA,NA,7.543451,2.480656744,6,0.971910112,80.86623,NA,0.101209338779553,0.00802958487239419,1.27519208335009,-1.16150559539076,3.63755797149796,0,0.000158699999999956,4.335166253,9.77207609,114.6896495,2.633699417,34.343,103879.515625,0.0538451350905585,NA,4.704262105,0.0346553917855297,0.167943888710645
"50",1972,"AUT",3.88,40.45638,4644.59478,NA,NA,7.57366,2.463864923,6,0.972375691,80.80583,NA,0.0727979488261942,-0.000746912524548274,1.31240698146394,2.91837587448627,-0.767257402617351,0,0.000465578999999994,5.776450629,10.35436677,116.2351761,2.650897026,34.762,110109.2890625,0.0599711444553629,NA,6.362062998,0.0467331351181294,0.162461447007653
"51",1973,"AUT",5.26,45.0694,5108.264528,NA,NA,7.598925,2.437410713,6,0.972972973,85.9939,NA,0.11402453704459,0.0642041545764705,1.29630086009316,-1.22722003145857,-1.21810042134377,0,0.000597281999999977,6.566790491,9.863281649,119.9634321,2.668206453,34.933,115664.46875,0.0504515080861777,NA,7.52408227,0.060400500322127,0.177275658002038
"52",1974,"AUT",7.15,50.34151,5776.797781,NA,NA,7.617432,2.054389477,6,0.973262032,89.12656,NA,0.116977594554176,0.0364288629774903,1.32240881852482,2.01403541688527,-17.853927901596,0,0.000289059000000091,2.018369197,9.745705486,113.2892573,2.685628891,35.911,119681.0703125,0.0347263217988022,NA,9.521791768,0.0238436633912054,0.188772116924742
"53",1975,"AUT",7.52,56.7151,6305.539334,NA,NA,7.628138,2.128757477,6,0.972677596,92.32151,NA,0.126607048537082,0.0358473388852886,1.30392564849494,-1.39768956248359,4.21997835387389,0,-0.000584436000000021,0.737561833,8.879763102,114.1036677,2.703165293,36.423,120347.046875,0.00556459397263965,NA,8.445255071,-0.00971176156442139,0.163160783974227
"54",1976,"AUT",8.45,59.58478,6968.044666,NA,NA,7.630536,2.148943067,6,0.973404255,93.79509,NA,0.0505981652152602,0.0159613940456563,1.31652748348498,0.966453494076857,1.09904276195184,0,0.000726659000000018,5.355175294,8.83396793,112.9258471,2.720816374,36.292,123487.5390625,0.0260952991290423,NA,7.31868916,0.0508733973051301,0.171076134786132
"55",1977,"AUT",9.81,62.25218,7773.217807,NA,NA,7.625724,2.035608292,7,0.967567568,96.95375,NA,0.0447664655302915,0.033676176439513,1.34361474826056,2.0574781092968,-6.10364527475339,1,-0.00583668700000006,3.95391211,9.200370946,112.100998,2.738582373,36.637,128682.390625,0.0420678199755099,NA,5.474999999,0.0339745353576713,0.177592275660882
"56",1978,"AUT",12.16,67.76566,8308.19608,NA,NA,7.616309,2.285918952,6,0.973262032,101.3808,NA,0.0885668582208686,0.0456614622951664,1.38792188373871,3.29760711063305,14.3567689818641,-1,0.00569446400000007,3.958113954,8.301410786,112.4624059,2.756464481,38.783,128127.7421875,-0.00431021241372745,NA,3.579047168,0.039634242399688,0.18284933030074
"57",1979,"AUT",15.48,68.0517,9492.066592,NA,NA,7.605888,2.230098725,6,0.973262032,98.27921,NA,0.00422101695755638,-0.0305934654293514,1.44096511151655,3.82177328560819,-2.79967157969681,0,0,4.156645323,8.459085198,111.2677444,2.774463415,38.187,133411.21875,0.0412360076927622,NA,3.707093822,0.0494581977077124,0.195701257434217
"58",1980,"AUT",17.46,71.76977,10527.27686,NA,NA,7.597269,2.004966021,6,0.973404255,98.20053,NA,0.0546359606005434,-0.000800576235808221,1.36594066841908,-5.20654126167667,-11.6167955388701,0,0.000142222999999997,1.878198824,8.417229204,107.4933732,2.792579889,38.666,135028.953125,0.0121259245673445,NA,6.325389821,0.0277437296162914,0.20724189844313
"59",1981,"AUT",15.84,77.00685,11464.2473,2037.313305,NA,7.591618,2.057181836,7,0.968085106,98.08712,268.363516841864,0.0729705557089009,-0.00115488175063823,1.24926061753224,-8.54210241956433,3.04845701485671,1,-0.00531914900000008,1.933359096,8.125701305,105.2788227,2.809374809,39.743,134646.40625,-0.00283307295321964,NA,6.806862203,-0.0107612999125277,0.204758549629255
"60",1982,"AUT",15.64,78.62057,12411.43452,2165.201403,NA,7.588957,2.182997108,6,0.972972973,97.56938,285.309483635235,0.0209555383709371,-0.00527836886229307,1.29362040016212,3.55088297888605,7.12803596227581,-1,0.00488786699999999,0.384739009,7.259624601,106.7815218,2.826271057,38.516,135227.984375,0.00431929927576511,NA,5.440414508,-0.0154267406557993,0.188036455675153
"61",1983,"AUT",15.46,79.16621,13306.5421,2247.590243,NA,7.589573,2.197395683,6,0.973262032,97.26237,296.141857124241,0.00694016845718628,-0.00314658143774195,1.29144355990678,-0.168275040735874,0.76147016389018,0,0.000289059000000091,2.439787391,7.057119801,106.4030527,2.843268871,38.206,138082.796875,0.0211111073879748,NA,3.335380835,0.00350955229833348,0.192648846783006
"62",1984,"AUT",15.73,82.80337,13786.62268,2347.181763,NA,7.593397,2.110612154,7,0.967914439,99.61314,309.108263798139,0.0459433387047327,0.0241693678654962,1.22792774507814,-4.91820291652697,-4.55487213050572,1,-0.00534759300000009,4.515216142,6.883711195,106.4772738,2.860368729,39.87,137344.265625,-0.00534846676569391,NA,5.66486358,0.0186726672451627,0.19406472496101
"63",1985,"AUT",17.23,84.93288,14576.40324,2409.875526,NA,7.600514,2.153959394,8,0.962566845,100.797,317.067441228317,0.0257176730850447,0.0118845766733184,1.3002301626231,5.88816547510759,2.38367240721994,1,-0.00534759399999996,3.73830685,7.12888546,105.7888441,2.877571583,40.534,140281.96875,0.0213893394939473,NA,3.18969397,0.00854780280518655,0.183768334895192
"64",1986,"AUT",22.48,87.40132,15203.06239,2546.428908,NA,7.610435,2.365288616,5,0.978609626,106.1487,334.597024743001,0.0290634204326993,0.0530938420786334,1.45883085868549,12.1978939284436,11.3504732587929,-3,0.016042781,3.361494023,7.088101152,107.0206392,2.894877672,40.437,147261.390625,0.0497528081277374,NA,1.700921333,0.0647758483685082,0.167951379154604
"65",1987,"AUT",27.1,89.44671,15792.53531,2596.765514,NA,7.6237,2.37556851,5,0.978609626,108.8569,340.617484161234,0.0234022781349297,0.0255132658242634,1.49981459856438,2.80935515141341,0.495850761967926,0,0,3.637811278,7.210398438,107.3588948,2.912288189,40.055,153703.625,0.0437469342619825,NA,1.4,0.0443026469174678,0.168643813442991
"66",1988,"AUT",30.99,81.38058,16860.25598,2768.780562,NA,7.642479,2.378275991,5,0.979166667,107.7128,362.288278711659,-0.0901780512665027,-0.0105101284346697,1.48708696027717,-0.848614108663836,0.129951002718923,0,0.00055704099999998,4.614831634,7.501595481,107.3122321,2.929803133,40.057,163953.515625,0.0666860695380477,NA,1.931295201,0.0481969061832427,0.165558584394422
"67",1989,"AUT",32.53,82.79718,18114.84612,2921.856979,NA,7.669601,2.327249647,5,0.979166667,106.7872,380.965969285756,0.0174071013010721,-0.00859322197547555,1.45461537429628,-2.18357008354338,-2.4459336180747,0,0,3.690045822,7.608728149,106.7495867,2.947423697,39.039,173181.6875,0.0562852942788186,NA,2.563895832,0.0408995376366822,0.164014359976146
"68",1990,"AUT",41.14,84.75112,19452.47202,3157.165113,39183,7.706571,2.437537075,5,0.978947368,108.9259,409.671838876201,0.0235991129166477,0.0200276812202212,1.59073245612339,9.35759955740624,5.4191459212998,0,-0.000219298999999951,2.92182862,7.782362512,107.4262736,2.965149879,39.382,183681.8125,0.0606306887961234,NA,3.262322144,0.0588707983789382,0.152060238053567
"69",1991,"AUT",41.21,88.34754,20585.16008,3451.596829,40407,7.755143,2.502118946,6,0.97382199,108.6348,445.071977267215,0.0424350734243983,-0.00267245898358425,1.53740547437222,-3.35235391381443,3.01020426091725,1,-0.00512537800000001,1.445159952,8.145368574,107.2950809,2.979998589,39.844,192484.171875,0.0479217798169321,NA,3.334348356,0.0342347179639296,0.149249723542087
"70",1992,"AUT",44.29,91.8149,21259.91971,3492.075691,41221,7.813393,2.396463275,5,0.981042654,109.8749,446.934602035249,0.0392468200020057,0.0114153107475689,1.55874962166271,1.38832257633307,-4.78077062691462,-1,0.00722066399999999,1.791136171,7.903079441,106.6074586,2.994921923,41.382,201056.359375,0.0445345059622191,NA,4.029762782,0.0276602804121057,0.143780201651377
