iso3c,year,kof_trade_df,kof_trade_dj,trade_total_GDP,gvnt_cons,gvtn_expense
ITA,1983,27.7969074249268,78.9108505249024,40.313096532106,18.3930903019303,
ITA,1984,28.4709072113037,79.3770217895508,42.5659193832669,18.188788102554,
ITA,1985,29.0187168121338,80.0347366333008,42.7680261645398,18.3375239053067,
ITA,1986,22.3712310791016,80.101448059082,36.274427598017,18.0312436969081,46.2994673889749
ITA,1987,21.3884410858154,80.1904144287109,35.6718027051722,18.7615672343064,47.1463549986847
ITA,1988,20.387378692627,80.2619018554688,35.2188914358889,19.158398999084,42.5603921446283
ITA,1989,21.7865695953369,80.8428497314453,37.1665167474519,18.9674551772478,43.453942146348
ITA,1990,22.6852874755859,80.9080276489258,36.4332635799018,19.661183800693,43.3860807609824
ITA,1991,20.0888328552246,81.2164993286133,33.9824506258543,19.7498316109978,44.2258117395115
ITA,1992,22.1452732086182,82.2598495483399,35.0208955815969,19.5883352819353,47.2354134868047
ITA,1993,26.1354427337647,83.087272644043,37.8752992301677,19.4398975925591,48.288710472263
ITA,1994,27.2767639160156,83.2037582397461,40.5793871066172,18.7473881114544,46.0289567203798
ITA,1995,29.8143043518066,83.5745620727539,45.8249854769126,17.486487589537,47.2585629361876
ITA,1996,28.8773899078369,86.0255737304688,42.9828399542971,17.7199229440186,46.4271491376836
ITA,1997,30.8908309936523,89.2910766601563,44.6817471307566,17.808192028915,44.371746627944
ITA,1998,31.2357444763184,91.5194854736328,45.2099802774021,17.6633279010691,40.7257775102499
ITA,1999,30.8586616516113,93.0310363769531,44.7251705646909,17.6768284430755,39.7010362817213
ITA,2000,36.6774215698242,94.8038558959961,50.4745186728631,17.8826778392989,38.5273931841768
ITA,2001,36.8378829956055,92.7470321655274,50.208223912999,18.4134886844169,39.4853237017263
ITA,2002,36.0307197570801,92.8387069702148,48.1984169644958,18.5595241828208,38.6204666359834
ITA,2003,33.1889801025391,92.7875518798828,46.2686386863224,18.9785847455141,38.584547054252
ITA,2004,34.3510131835938,91.773193359375,47.5436435914844,19.1563204437673,37.8829142727854
ITA,2005,36.5916442871094,89.5301284790039,49.4138148269597,19.5751499185588,38.264163431451
ITA,2006,39.6232986450195,85.0112991333008,53.292274830165,19.4316544281613,38.6826147610931
ITA,2007,40.9560661315918,84.1770401000977,55.2136471865318,18.9390108097241,38.2253856169063
ITA,2008,40.593376159668,83.7728881835938,54.7180076742909,19.4303737130172,39.2080805278532
ITA,2009,32.277458190918,84.5283432006836,45.6091167384025,20.6267071012424,42.9697580543898
ITA,2010,38.5329360961914,85.1611251831055,52.3455973754055,20.4203826141802,41.5326256010775
ITA,2011,40.9708976745605,82.9724502563477,55.582987559596,19.5984898344872,40.9116444714564
ITA,2012,42.0839157104492,81.2960739135742,56.1848797314762,19.5533901745838,42.1851958605685
ITA,2013,41.4617767333984,81.0070037841797,55.4665897544128,19.6569971901393,42.4327173061483
ITA,2014,41.7813148498535,90.4961318969727,55.7597689815536,19.3183959425517,42.3683238263608
ITA,2015,42.5962905883789,90.967887878418,56.9313063356168,18.8728742472998,42.3525926686357
ITA,2016,41.9267997741699,90.9402465820312,56.0487258570452,18.7381052701346,41.9554344121045
ITA,2017,,,59.3611077857416,18.712890001427,41.483887606762
ITA,2018,,,,18.8222812818462,
ITA,2019,,,,,
ITA,2020,,,,,
LUX,1965,,,158.104811717028,11.1771114615201,
LUX,1966,,,150.086710694351,11.6814668807055,
LUX,1967,,,147.120048888798,12.36124344352,
LUX,1968,,,149.041617171524,12.3494241326742,
LUX,1969,,,152.254248582133,11.2703219601273,
LUX,1970,76.6902160644531,83.3232650756836,156.672474257827,10.7589782666791,
LUX,1971,76.6902160644531,83.4912414550781,163.791134703464,11.9983442304911,
LUX,1972,76.6902160644531,83.6592254638672,151.647905301309,12.0384038878171,22.2241409862677
LUX,1973,76.6902160644531,84.6662139892578,157.897912214941,11.5500584110337,21.2763576646404
LUX,1974,76.6902160644531,85.1692810058594,175.450583654262,11.738766649969,20.8543219385023
LUX,1975,76.6902160644531,85.1692810058594,171.450758019316,15.2945283853739,28.738942210806
LUX,1976,76.6902160644531,85.3701858520508,161.839062262069,15.0909271287223,29.2463191877232
LUX,1977,76.6902160644531,85.2022018432617,161.01933356343,16.2666687323716,31.8944410975891
LUX,1978,76.6902160644531,85.4031066894531,157.597772068005,16.0236948788752,30.7746428485737
LUX,1979,76.6902160644531,85.0671539306641,168.756184975624,16.3681493102711,31.6492028316245
LUX,1980,76.8157653808594,85.2191772460938,168.525203389274,17.0939805416656,32.1923829142088
LUX,1981,76.8497772216797,85.1905364990235,166.939500037453,17.8342115341113,33.9184855542153
LUX,1982,76.8500061035156,85.1680603027344,170.287794546544,16.8360664012912,34.4843166666892
LUX,1983,76.8921508789063,85.2198867797852,170.974699772782,16.1594936619307,34.3187510273802
LUX,1984,77.0371475219727,85.4652328491211,190.185735111569,15.7392273606422,32.3879642974026
LUX,1985,77.1907653808594,86.2248001098633,201.132542740992,16.1252692952772,30.9420588678956
LUX,1986,77.1843414306641,86.0684814453125,183.574500921306,15.762951161533,29.7183426921472
LUX,1987,77.2283477783203,85.9807205200195,182.467729990123,16.6699648972685,30.9370319434646
LUX,1988,77.1637115478516,86.1988143920899,183.929892860934,15.8507934909789,29.8001468866954
LUX,1989,77.1386947631836,86.344711303711,185.991468847137,15.441293286945,27.1181804393789
LUX,1990,77.2298355102539,86.6210250854492,182.86894856142,15.7943387550941,29.1513461588448
LUX,1991,77.4992141723633,86.8479309082031,183.690727697904,15.2941776473509,29.1984872174629
LUX,1992,77.6583099365234,88.7095718383789,177.769141680833,15.9102029917008,31.7432918405462
LUX,1993,77.8361892700195,89.4225234985352,176.667949910708,15.8144190630316,31.227836503298
LUX,1994,77.8666152954102,89.354248046875,180.950603784565,15.3664943893814,31.3801320187932
LUX,1995,78.116584777832,89.5421524047852,184.615134976502,15.9222102812165,37.0057366478974
LUX,1996,78.1160049438477,90.7072143554688,190.432181126353,16.1009379935367,36.6298406538217
LUX,1997,78.1557540893555,93.4734725952148,210.582263607924,16.2778756287768,37.3446045492523
LUX,1998,78.3079147338867,94.924186706543,232.890088784925,15.8099727191258,37.2363420751502
LUX,1999,78.7235107421875,95.8694534301758,239.216927815784,15.319810702526,35.2957740688679
LUX,2000,79.8413619995117,97.0894927978516,271.950966356649,14.838904740193,34.1266693065367
LUX,2001,81.4656524658203,96.798095703125,271.344448796917,15.8291788533097,35.5086722456841
